clean_tweets,label
I tired people throwing around word Nazi ... These people know nothing happened…,surprise
Lauren High STUPID Asking friend,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
hello fans waiting long signs game update page every day s…,surprise
Was looking forward free dominoes pizza lunch today go practice ... told ‘ round ’ …,surprise
Tell Trump n't fight WAR state state If war whole…,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Jealous Trump family much,surprise
You absolutely right ... I n't lost faith lost faith exchanges amp surprised bruta…,surprise
Guaranteed money telling money stay home,surprise
Hey least ’ profiting via insider trading like actual members a…,surprise
people really problem opposite gender app..,surprise
Americans apparently even dumber I thought,surprise
feelin cos miss hobi 🥺,surprise
either tried one ...,surprise
They ’ brainwashed think ’ handled well,surprise
Always said dont love anyone anymore decent thing tell deserve know star…,surprise
responsible pnr issued I approach air india washed h…,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
Listen Be Gone Tigga Fey …,surprise
You ’ chance prove ’ lying You ’ going former president soon an…,surprise
I post help fact I ’ really oof …,surprise
Stop playing heart Even You ’ know hurts like hell …,surprise
Distance learning day Also last day school two week spring break …,surprise
We Birthday Party today 🥳 Someone ️⃣0️⃣ Happy Birthday Lynn,surprise
You two cute It 's getting lonely work first then…,surprise
So sad see whole generation young people behave way Self entitled selfish ill educated bunch I guess…,surprise
This SUCH A LIE Medical staff BEGGING help supplies STILL enough tests tu…,surprise
Sleazy Folks need recognize 's see i…,surprise
Terrible self isolating delivery service thr driver horrible,surprise
Got preorder copies half.. pins …,surprise
n't say 'm prettiest I want coolest,surprise
No It seems like one likes P.S Going work …,surprise
Base 'fired rebranding virus,surprise
Four Senators implicated coronavirus insider trading scandal Richard Burr NC Ji…,surprise
Are struggling find quality Islamic gift loved one ca n't quite seem find something k…,surprise
Americans apparently even dumber I thought,surprise
Base 'fired rebranding virus,surprise
life vs,surprise
day w/o u,surprise
The future USA,surprise
Ag fabric west …,surprise
Our brand new Our turned upside times must m…,surprise
“ ... dx know like circumstance causes us attentions This going to…,surprise
God forbid may land Italy Iran like situation,surprise
With spring warming things I think gardens point year ... gagging get the…,surprise
Gon na start playin apex stream,surprise
Board members working home deciding fate workers essential daily functioning non essential produ…,surprise
Add instant glamour outfits …,surprise
Final batch photos returning home London yesterday Goodbye Cambridge 've given m…,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Do n't forget wash hands You eat,surprise
It could obvious fact overweight bald man old…,surprise
I told born without live without wrong swear I wrong …,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Tame Winter Blues Light Box ▸ …,surprise
Coming soon ... .. …,surprise
🤬 It ’ like dealing spoilt kids lol dad said quiz night busiest ’ ever s…,surprise
When approval ratings matters ... The death amp misery big deal,surprise
feel Connected RT Now …,surprise
What really nice though man recyclable bag Go green,surprise
/20 see happened ya put baby corner look acting like bunch spoiled brats Figh…,surprise
Whenthe people In country act irresponsibly u call Blaming government solution Liste…,surprise
